pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID,wpa_rt,after_we_rt
슬라이더,김연주,전민재,54368,68205,126,볼,,,,1,0,0,1,B,0,3,0,0,우,우,윤동희,전준우,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,52591,78513,,54368,53312,76267,54394,78756,55392,78135,52305,64340,2.316,1.308,2.028,0.988,27.796,-36.771,-1.083,5.139,3.325,1.613,50,7.04,-113.866,-1.721,2.653,21.583,-30.882,20250603,LT,WO,롯데,키움,사직,박종철,9,2,250603_172102,20250603WOLT02025,,
직구,김연주,전민재,54368,68205,140,타격,실책,실책,전민재 : 투수 앞 땅볼로 출루; 1루주자 윤동희 : 투수 실책으로 2루까지 진루 (투수 송구 실책->유격수); 2루주자 전준우 : 3루까지 진루; 3루주자 전준우 : 실책으로 홈인;,2,0,0,1,B,0,3,0,1,우,우,윤동희,전준우,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,52591,78513,,54368,53312,76267,54394,78756,55392,78135,52305,64340,0.119,1.94,-11.702,5,1.433,-23.696,-1.369,4.883,3.325,1.613,50,7.448,-125.47,-2.398,-18.634,25.641,-24.211,20250603,LT,WO,롯데,키움,사직,박종철,9,3,250603_172122,20250603WOLT02025,4.6,87.5
직구,김연주,손호영,54368,50150,141,타격,병살타,병살타,손호영 : 유격수 병살타 아웃 (유격수->2루수->1루수 송구아웃); 1루주자 전민재 : 포스아웃 (유격수->2루수 2루 터치아웃); 2루주자 윤동희 : 3루까지 진루;,0,0,0,1,B,0,4,2,0,우,우,전민재,윤동희,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,68205,52591,,54368,53312,76267,54394,78756,55392,78135,52305,64340,0.132,3.54,-8.236,6.46,1.58,-20.903,-1.22,5.196,3.36,1.63,50,6.048,-126.062,0.215,-13.347,23.943,-21.705,20250603,LT,WO,롯데,키움,사직,박종철,10,1,250603_172215,20250603WOLT02025,-4.3,83.2
직구,김연주,유강남,54368,61102,140,볼,,,,0,0,2,1,B,0,4,0,0,우,우,,,윤동희,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,,,52591,54368,53312,76267,54394,78756,55392,78135,52305,64340,1.014,1.707,-8.37,6.779,12.168,-21.304,-1.041,4.966,3.344,1.622,50,7.735,-124.456,-3.649,-13.177,24.115,-21.502,20250603,LT,WO,롯데,키움,사직,박종철,11,1,250603_172300,20250603WOLT02025,,
직구,김연주,유강남,54368,61102,143,볼,,,,1,0,2,1,B,0,4,0,0,우,우,,,윤동희,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,,,52591,54368,53312,76267,54394,78756,55392,78135,52305,64340,1.211,2.776,-9.279,6.753,14.527,-19.832,-1.12,5.062,3.344,1.622,50,8.917,-127.662,-1.597,-15.331,25.998,-21.016,20250603,LT,WO,롯데,키움,사직,박종철,11,2,250603_172317,20250603WOLT02025,,
직구,김연주,유강남,54368,61102,141,타격,필드 아웃,플라이 아웃,유강남 : 좌익수 플라이 아웃;,2,0,2,1,B,0,4,1,0,우,우,,,윤동희,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,,,52591,54368,53312,76267,54394,78756,55392,78135,52305,64340,-0.278,3.129,-9.1,3.484,-3.33,-25.965,-1.435,5.01,3.344,1.622,50,5.795,-126.375,0.7,-14.507,29.174,-26.619,20250603,LT,WO,롯데,키움,사직,박종철,11,3,250603_172339,20250603WOLT02025,-1.7,81.5
직구,감보아,김건희,55532,53312,147,스트라이크,,,,0,0,0,2,T,0,4,0,0,우,좌,,,,감보아,유강남,정훈,고승민,손호영,전민재,레이예스,장두성,윤동희,,,,55532,61102,60523,69517,50150,68205,54529,68507,52591,-0.462,2.445,4.474,10.355,-5.541,-12.197,1.288,6.329,3.387,1.643,50,-6.084,-131.697,-7.483,7.922,25.79,-13.837,20250603,LT,WO,롯데,키움,사직,박종철,12,1,250603_172621,20250603WOLT02025,,
슬라이더,감보아,김건희,55532,53312,137,타격,포스 아웃,땅볼 아웃,김건희 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃);,0,1,0,2,T,0,4,1,0,우,좌,,,,감보아,유강남,정훈,고승민,손호영,전민재,레이예스,장두성,윤동희,,,,55532,61102,60523,69517,50150,68205,54529,68507,52591,-0.03,2.27,-2.26,2.264,-0.354,-28.766,1.444,6.446,3.387,1.643,50,-2.885,-123.691,-4.348,-3.511,24.021,-28.657,20250603,LT,WO,롯데,키움,사직,박종철,12,2,250603_172635,20250603WOLT02025,-2.1,16.4
슬라이더,감보아,이형종,55532,78135,137,타격,안타,안타,이형종 : 좌익수 앞 1루타;,0,0,1,2,T,0,4,0,0,우,좌,,,,감보아,유강남,정훈,고승민,손호영,전민재,레이예스,장두성,윤동희,,,,55532,61102,60523,69517,50150,68205,54529,68507,52591,-0.48,2.954,-2.601,2.031,-5.764,-29.203,1.887,6.378,3.303,1.602,50,-4.954,-123.026,-2.418,-4.037,21.452,-29.021,20250603,LT,WO,롯데,키움,사직,박종철,13,1,250603_172713,20250603WOLT02025,1.9,18.3
직구,감보아,오선진,55532,78756,150,스트라이크,,,,0,0,1,2,T,0,4,0,0,우,좌,이형종,,,감보아,유강남,정훈,고승민,손호영,전민재,레이예스,장두성,윤동희,78135,,,55532,61102,60523,69517,50150,68205,54529,68507,52591,-0.005,2.68,4.366,10.755,-0.066,-10.693,1.309,6.46,3.247,1.575,50,-4.989,-134.587,-7.663,7.972,30.423,-12.536,20250603,LT,WO,롯데,키움,사직,박종철,14,1,250603_172750,20250603WOLT02025,,
